"Slice","Name","Invested value","Value","Result","Owned quantity","Dividends gained","Dividends cash","Dividends reinvested"
"SWDA","iShares Core MSCI World (Acc)",45.03,44.85,-0.18,"0.39562562","N/A","N/A","N/A"
"CNDX","iShares NASDAQ 100 (Acc)",16.48,15.88,-0.6,"0.01310977","N/A","N/A","N/A"
"AMZN","Amazon",7.69,6.45,-1.24,"0.03698483","N/A","N/A","N/A"
"META","Meta Platforms",7.69,7.2,-0.49,"0.0128155","N/A","N/A","N/A"
"MU","Micron Technology",5.49,4.71,-0.78,"0.01463598","N/A","N/A","N/A"
"RTX","RTX Corp",5.49,5.23,-0.26,"0.03191204","N/A","N/A","N/A"
"NVDA","Nvidia",5.49,5.54,0.05,"0.03477973","N/A","N/A","N/A"
"HD","Home Depot",5.49,5.61,0.12,"0.01714712","N/A","N/A","N/A"
"LMT","Lockheed Martin",5.49,5.35,-0.14,"0.01011412","N/A","N/A","N/A"
"CRWD","Crowdstrike",5.49,5.17,-0.32,"0.01481824","N/A","N/A","N/A"
"Total","Copy of Phoenix Investment 202",109.83,105.99,-3.84,"-","0","0","0"